fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
22,063,56162/,J,12,G,330,G,1264,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,5617//,G,432,G,2733,G,12424,71,48,11,7,5,N,N,N,N,N,N,N,N,N
22,063,56171/,G,53,G,531,G,2338,13,9,N,N,N,N,N,N,N,N,N,N,N,N
22,063,561710,G,53,G,531,G,2338,13,9,N,N,N,N,N,N,N,N,N,N,N,N
22,063,56172/,G,228,G,1049,G,4573,21,12,N,N,5,N,N,N,N,N,N,N,N,N
22,063,561720,G,228,G,1049,G,4573,21,12,N,N,5,N,N,N,N,N,N,N,N,N
22,063,56173/,G,118,G,801,G,4076,28,20,5,3,N,N,N,N,N,N,N,N,N,N
22,063,561730,G,118,G,801,G,4076,28,20,5,3,N,N,N,N,N,N,N,N,N,N
22,063,56179/,G,22,G,188,G,767,7,6,N,N,N,N,N,N,N,N,N,N,N,N
22,063,561790,G,22,G,188,G,767,7,6,N,N,N,N,N,N,N,N,N,N,N,N
22,063,5619//,G,39,J,203,H,972,8,6,N,N,N,N,N,N,N,N,N,N,N,N
22,063,56199/,J,19,J,169,J,662,6,5,N,N,N,N,N,N,N,N,N,N,N,N
22,063,561990,J,19,J,169,J,662,6,5,N,N,N,N,N,N,N,N,N,N,N,N
22,063,562///,J,200,J,4031,J,18468,13,5,3,N,N,N,N,N,N,N,N,N,N,N
22,063,5621//,J,123,J,2681,J,13305,8,4,N,N,N,N,N,N,N,N,N,N,N,N
22,063,56211/,J,123,J,2681,J,13305,8,4,N,N,N,N,N,N,N,N,N,N,N,N
22,063,562111,J,120,J,2656,J,13189,6,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,5629//,J,36,J,338,J,1449,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,56291/,J,36,J,338,J,1449,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,562910,J,36,J,338,J,1449,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,61----,H,296,H,874,H,3887,14,4,5,3,N,N,N,N,N,N,N,N,N,N
22,063,611///,H,296,H,874,H,3887,14,4,5,3,N,N,N,N,N,N,N,N,N,N
22,063,6116//,H,100,J,247,J,1180,9,3,N,3,N,N,N,N,N,N,N,N,N,N
22,063,61161/,H,28,G,58,H,238,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,611610,H,28,G,58,H,238,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,61162/,J,62,J,171,J,836,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,611620,J,62,J,171,J,836,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,61169/,J,10,J,18,H,106,3,N,N,N,N,N,N,N,N,N,N,N,N,N
22,063,62----,G,2626,H,25274,H,106336,178,57,36,43,36,3,3,N,N,N,N,N,N,N
22,063,621///,H,1292,H,17102,H,72014,117,42,29,29,15,N,N,N,N,N,N,N,N,N
22,063,6211//,J,234,J,5761,J,23949,16,7,4,3,N,N,N,N,N,N,N,N,N,N
22,063,62111/,J,234,J,5761,J,23949,16,7,4,3,N,N,N,N,N,N,N,N,N,N
22,063,621111,H,210,J,5496,J,22916,15,7,4,3,N,N,N,N,N,N,N,N,N,N
22,063,6212//,G,341,G,3863,G,16725,29,4,14,7,4,N,N,N,N,N,N,N,N,N
22,063,62121/,G,341,G,3863,G,16725,29,4,14,7,4,N,N,N,N,N,N,N,N,N
22,063,621210,G,341,G,3863,G,16725,29,4,14,7,4,N,N,N,N,N,N,N,N,N
22,063,6213//,H,419,H,4229,G,17115,50,23,9,14,3,N,N,N,N,N,N,N,N,N
