Geography,2024 Unemployment Rate (5-Year ACS),Threshold Calculation,2024 Per Capita Money Income (5-Year ACS),Threshold Calculation2
Region,7,1.8,"$39,621 ",88.7
U.S.,5.2,0,"$44,673 ",100
West Baton Rouge LA Tract 0201.00,6.9,1.7,"$31,732 ",71
West Baton Rouge LA Tract 0202.00,2.3,-2.9,"$32,763 ",73.3
West Baton Rouge LA Tract 0203.01,22.7,17.5,"$28,859 ",64.6
West Baton Rouge LA Tract 0203.02,2.4,-2.8,"$39,067 ",87.4
West Baton Rouge LA Tract 0204.01,6.9,1.7,"$46,818 ",104.8
West Baton Rouge LA Tract 0204.02,4.5,-0.7,"$46,771 ",104.7
