Geography,2024 Unemployment Rate (5-Year ACS),Threshold Calculation,2024 Per Capita Money Income (5-Year ACS),Threshold Calculation2
Region,17.6,12.4,"$25,200 ",56.4
U.S.,5.2,0,"$44,673 ",100
St. Helena LA Tract 9511.00,23.4,18.2,"$22,276 ",49.9
St. Helena LA Tract 9512.01,18.3,13.1,"$27,163 ",60.8
St. Helena LA Tract 9512.02,8.3,3.1,"$26,177 ",58.6
