Geography,2024 Unemployment Rate (5-Year ACS),Threshold Calculation,2024 Per Capita Money Income (5-Year ACS),Threshold Calculation2
East Baton Rouge LA Tract 0042.04,2.4,-2.8,"$19,038 ",42.6
East Baton Rouge LA Tract 0042.05,20.8,15.6,"$25,082 ",56.2
East Baton Rouge LA Tract 0043.01,0,-5.2,"$37,014 ",82.9
East Baton Rouge LA Tract 0043.02,2.8,-2.4,"$44,283 ",99.1
East Baton Rouge LA Tract 0044.01,2.9,-2.3,"$46,640 ",104.4
East Baton Rouge LA Tract 0044.02,3.6,-1.6,"$45,354 ",101.5
East Baton Rouge LA Tract 0044.03,1,-4.2,"$41,342 ",92.5
East Baton Rouge LA Tract 0045.03,9.7,4.5,"$26,096 ",58.4
East Baton Rouge LA Tract 0045.04,9.2,4,"$34,453 ",77.1
East Baton Rouge LA Tract 0045.07,2.6,-2.6,"$58,335 ",130.6
East Baton Rouge LA Tract 0045.09,8.2,3,"$36,770 ",82.3
East Baton Rouge LA Tract 0045.11,18.2,13,"$28,937 ",64.8
East Baton Rouge LA Tract 0045.12,7.6,2.4,"$65,691 ",147
East Baton Rouge LA Tract 0045.13,6.9,1.7,"$49,745 ",111.4
East Baton Rouge LA Tract 0045.14,9.5,4.3,"$84,140 ",188.4
East Baton Rouge LA Tract 0045.15,7.4,2.2,"$60,590 ",135.6
East Baton Rouge LA Tract 0045.16,5.1,-0.1,"$76,701 ",171.7
East Baton Rouge LA Tract 0046.02,2.5,-2.7,"$39,139 ",87.6
East Baton Rouge LA Tract 0046.03,8.6,3.4,"$43,191 ",96.7
East Baton Rouge LA Tract 0046.05,2.3,-2.9,"$51,983 ",116.4
East Baton Rouge LA Tract 0046.06,14.4,9.2,"$43,187 ",96.7
East Baton Rouge LA Tract 0047.00,11.4,6.2,"$37,846 ",84.7
East Baton Rouge LA Tract 0048.00,8.3,3.1,"$35,204 ",78.8
East Baton Rouge LA Tract 0049.00,3.3,-1.9,"$92,147 ",206.3
East Baton Rouge LA Tract 0050.00,3.7,-1.5,"$55,347 ",123.9
East Baton Rouge LA Tract 0051.00,3.3,-1.9,"$52,317 ",117.1
East Baton Rouge LA Tract 0052.00,12.1,6.9,"$30,741 ",68.8
East Baton Rouge LA Tract 0053.00,9,3.8,"$46,763 ",104.7
East Baton Rouge LA Tract 9800.00,N/A,N/A,N/A,N/A
