Geography,2024 Unemployment Rate (5-Year ACS),Threshold Calculation,2024 Per Capita Money Income (5-Year ACS),Threshold Calculation2
Region,4.1,-1.1,"$29,951 ",67
U.S.,5.2,0,"$44,673 ",100
West Feliciana LA Tract 9517.03,N/A,N/A,N/A,N/A
West Feliciana LA Tract 9517.04,7.2,2,"$46,253 ",103.5
West Feliciana LA Tract 9517.05,5.7,0.5,"$33,816 ",75.7
West Feliciana LA Tract 9518.01,2.4,-2.8,"$38,354 ",85.8
West Feliciana LA Tract 9518.02,0,-5.2,"$43,348 ",97
West Feliciana LA Tract 9518.03,5.1,-0.1,"$42,306 ",94.7
West Feliciana LA Tract 9800.00,0,-5.2,"$7,196 ",16.1
