Geography,2024 Unemployment Rate (5-Year ACS),Threshold Calculation,2024 Per Capita Money Income (5-Year ACS),Threshold Calculation2
Region,5.9,0.7,"$33,464 ",74.9
U.S.,5.2,0,"$44,673 ",100
East Feliciana LA Tract 9513.00,0.7,-4.5,"$36,202 ",81
East Feliciana LA Tract 9514.00,6.3,1.1,"$31,485 ",70.5
East Feliciana LA Tract 9515.01,18.5,13.3,"$41,992 ",94
East Feliciana LA Tract 9515.02,6.4,1.2,"$27,968 ",62.6
East Feliciana LA Tract 9516.00,3.5,-1.7,"$40,356 ",90.3
